Timestamp,A,B,C,D,E,F
2023-02-01 11:00:00,3946,6,785,758,197,2
2023-02-01 11:15:00,3586,9,726,685,200,7
2023-02-01 11:30:00,4471,8,673,854,178,7
2023-02-01 11:45:00,3934,7,785,629,193,3
2023-02-01 12:00:00,3426,10,745,832,211,9
2023-02-01 12:15:00,3547,8,732,639,194,5
2023-02-01 12:30:00,4264,8,603,615,206,6
2023-02-01 12:45:00,3356,6,620,329,199,4
2023-02-01 13:00:00,3790,10,743,661,195,5
2023-02-01 13:15:00,3994,9,757,632,186,11
2023-02-01 13:30:00,3639,10,650,233,172,1
2023-02-01 13:45:00,3697,8,759,579,163,11
2023-02-01 14:00:00,3749,6,647,732,176,8
2023-02-01 14:15:00,5273,8,959,611,155,16
2023-02-01 14:30:00,6485,6,914,355,168,4
2023-02-01 14:45:00,5289,6,832,721,169,16
2023-02-01 15:00:00,5030,10,1124,729,139,6
2023-02-01 15:15:00,5220,11,987,698,145,21
2023-02-01 15:30:00,7104,10,1261,1039,155,24
2023-02-01 15:45:00,5412,6,1070,949,143,19
2023-02-01 16:00:00,6084,9,1455,1270,127,30
2023-02-01 16:15:00,7214,12,1222,1121,133,5
2023-02-01 16:30:00,9820,6,1043,1536,119,9
2023-02-01 16:45:00,9805,10,1276,1314,130,1
2023-02-01 17:00:00,9891,9,791,1139,125,2
2023-02-01 17:15:00,8252,6,945,1365,110,3
2023-02-01 17:30:00,7007,6,1099,869,102,14
2023-02-01 17:45:00,7095,7,1095,1012,102,13
2023-02-01 18:00:00,4247,8,991,1159,89,20
2023-02-01 18:15:00,5059,9,978,1150,85,14
2023-02-01 18:30:00,4338,10,731,1042,82,8
2023-02-01 18:45:00,3399,8,725,1024,88,8
2023-02-01 19:00:00,4107,10,700,771,81,3
2023-02-01 19:15:00,3508,7,810,757,76,1
2023-02-01 19:30:00,3397,5,880,726,62,5
2023-02-01 19:45:00,3131,9,626,830,61,3
2023-02-01 20:00:00,4016,7,633,894,57,2
2023-02-01 20:15:00,2643,7,621,634,48,3
2023-02-01 20:30:00,3036,7,660,634,43,3
2023-02-01 20:45:00,2551,6,488,617,45,2
2023-02-01 21:00:00,2809,7,487,650,46,3
2023-02-01 21:15:00,2275,7,403,471,41,4
2023-02-01 21:30:00,1980,5,278,464,40,2
2023-02-01 21:45:00,2672,6,440,374,39,3
2023-02-01 22:00:00,2192,6,368,243,39,3
2023-02-01 22:15:00,2168,5,275,399,36,2
2023-02-01 22:30:00,1802,7,222,320,35,0
2023-02-01 22:45:00,1537,4,260,222,34,1
2023-02-01 23:00:00,1039,5,206,258,31,0
2023-02-01 23:15:00,1069,4,165,129,33,0
2023-02-01 23:30:00,522,6,84,33,29,0
2023-02-01 23:45:00,692,3,68,87,28,0
2023-02-02 00:00:00,668,4,44,30,27,0
2023-02-02 00:15:00,632,6,49,94,29,0
2023-02-02 00:30:00,398,4,45,83,27,0
2023-02-02 00:45:00,702,4,51,80,31,2
2023-02-02 01:00:00,471,6,37,89,29,1
2023-02-02 01:15:00,751,7,47,14,27,1
2023-02-02 01:30:00,478,6,49,60,27,1
2023-02-02 01:45:00,749,5,53,93,30,0
2023-02-02 02:00:00,660,7,75,91,32,0
2023-02-02 02:15:00,803,5,50,91,30,0
2023-02-02 02:30:00,595,8,28,90,27,0
2023-02-02 02:45:00,668,5,31,64,29,1
2023-02-02 03:00:00,603,7,36,62,31,2
2023-02-02 03:15:00,596,8,67,-1,31,0
2023-02-02 03:30:00,247,6,117,29,27,2
2023-02-02 03:45:00,407,9,188,86,28,1
2023-02-02 04:00:00,662,8,278,173,30,0
2023-02-02 04:15:00,1123,7,435,300,27,2
2023-02-02 04:30:00,2518,10,333,520,31,2
2023-02-02 04:45:00,3074,7,611,500,36,5
2023-02-02 05:00:00,3798,9,762,862,38,1
2023-02-02 05:15:00,6015,9,709,1078,49,17
2023-02-02 05:30:00,4613,8,742,1055,53,26
2023-02-02 05:45:00,4875,7,574,1078,62,21
2023-02-02 06:00:00,6885,7,787,860,81,19
2023-02-02 06:15:00,6391,8,1141,999,97,23
2023-02-02 06:30:00,8626,10,970,1271,102,30
2023-02-02 06:45:00,7017,7,873,1018,114,17
2023-02-02 07:00:00,6848,11,1115,851,119,13
2023-02-02 07:15:00,5485,10,992,1036,139,14
2023-02-02 07:30:00,5082,8,921,865,135,12
2023-02-02 07:45:00,4524,9,754,919,134,7
2023-02-02 08:00:00,3226,11,615,538,143,10
2023-02-02 08:15:00,3825,12,786,783,153,3
2023-02-02 08:30:00,3114,7,643,331,165,7
2023-02-02 08:45:00,3681,8,716,506,162,6
2023-02-02 09:00:00,3801,7,786,381,157,1
2023-02-02 09:15:00,3424,12,635,487,167,10
2023-02-02 09:30:00,3616,9,743,597,175,1
2023-02-02 09:45:00,4392,9,686,741,175,6
2023-02-02 10:00:00,3788,10,660,714,181,3
2023-02-02 10:15:00,4751,11,764,666,172,6
2023-02-02 10:30:00,3711,9,640,636,184,11
2023-02-02 10:45:00,5108,7,643,627,189,4
2023-02-02 11:00:00,4406,7,783,798,199,7
2023-02-02 11:15:00,4472,6,711,853,177,4
2023-02-02 11:30:00,4730,6,617,567,207,2
2023-02-02 11:45:00,3858,6,685,669,181,7
2023-02-02 12:00:00,4830,7,803,557,188,2
2023-02-02 12:15:00,4490,8,643,674,183,9
2023-02-02 12:30:00,4808,6,734,438,204,9
2023-02-02 12:45:00,3884,7,629,507,201,7
2023-02-02 13:00:00,4217,8,717,301,179,9
2023-02-02 13:15:00,4312,9,642,354,176,2
2023-02-02 13:30:00,4768,8,629,226,181,8
2023-02-02 13:45:00,5329,6,712,661,166,11
2023-02-02 14:00:00,3531,11,909,346,165,0
2023-02-02 14:15:00,4756,10,974,326,152,13
2023-02-02 14:30:00,4339,8,943,373,161,1
2023-02-02 14:45:00,5635,6,1038,736,144,16
2023-02-02 15:00:00,5468,9,1051,983,154,4
2023-02-02 15:15:00,5190,6,1157,853,138,23
2023-02-02 15:30:00,5961,7,1144,973,153,2
2023-02-02 15:45:00,5786,8,1306,992,129,16
2023-02-02 16:00:00,8805,10,896,1113,139,23
2023-02-02 16:15:00,9093,8,1108,1249,141,35
2023-02-02 16:30:00,9939,9,1093,1248,118,19
2023-02-02 16:45:00,9156,6,918,1398,112,21
2023-02-02 17:00:00,7226,7,1268,966,114,11
2023-02-02 17:15:00,9138,10,1150,1150,113,12
2023-02-02 17:30:00,8142,7,715,1113,115,9
2023-02-02 17:45:00,4933,9,1014,924,112,2
2023-02-02 18:00:00,5729,9,1114,1269,109,5
2023-02-02 18:15:00,3825,7,1120,1151,94,12
2023-02-02 18:30:00,4174,7,1020,717,91,4
2023-02-02 18:45:00,4335,9,837,1011,83,6
2023-02-02 19:00:00,3668,7,655,1101,71,2
2023-02-02 19:15:00,4061,6,702,814,70,2
2023-02-02 19:30:00,4422,6,584,992,63,5
2023-02-02 19:45:00,3624,5,567,805,63,3
2023-02-02 20:00:00,3679,7,727,616,61,2
2023-02-02 20:15:00,2827,7,708,656,49,4
2023-02-02 20:30:00,3092,6,604,532,48,2
2023-02-02 20:45:00,3193,8,372,510,42,1
2023-02-02 21:00:00,2831,8,530,663,49,3
2023-02-02 21:15:00,2992,8,326,561,41,3
2023-02-02 21:30:00,2811,6,350,322,39,2
2023-02-02 21:45:00,2295,7,247,475,44,1
2023-02-02 22:00:00,1627,6,336,390,37,3
2023-02-02 22:15:00,1647,7,305,231,35,2
2023-02-02 22:30:00,1924,5,274,249,35,2
2023-02-02 22:45:00,1551,5,261,141,34,1
2023-02-02 23:00:00,1217,6,130,223,31,1
2023-02-02 23:15:00,1066,6,103,186,33,0
2023-02-02 23:30:00,1005,6,114,148,33,0
2023-02-02 23:45:00,393,5,45,13,29,0
2023-02-03 00:00:00,320,6,52,18,30,0
2023-02-03 00:15:00,393,5,59,10,29,1
2023-02-03 00:30:00,432,5,42,27,30,0
2023-02-03 00:45:00,733,5,28,20,28,1
2023-02-03 01:00:00,440,6,61,56,32,1
2023-02-03 01:15:00,435,4,55,83,29,1
2023-02-03 01:30:00,421,5,80,33,29,0
2023-02-03 01:45:00,471,6,70,100,29,0
2023-02-03 02:00:00,393,6,76,90,30,0
2023-02-03 02:15:00,494,7,20,77,30,1
2023-02-03 02:30:00,690,8,28,36,32,1
2023-02-03 02:45:00,400,8,26,38,28,2
2023-02-03 03:00:00,472,7,71,23,32,1
2023-02-03 03:15:00,369,8,54,37,30,2
2023-02-03 03:30:00,318,6,78,71,31,0
2023-02-03 03:45:00,647,7,181,100,31,1
2023-02-03 04:00:00,737,7,327,183,27,1
2023-02-03 04:15:00,1239,7,395,400,29,1
2023-02-03 04:30:00,1629,10,364,446,30,3
2023-02-03 04:45:00,2332,9,600,511,35,6
2023-02-03 05:00:00,4874,9,808,995,43,11
2023-02-03 05:15:00,5639,8,900,869,51,21
2023-02-03 05:30:00,7521,8,740,868,63,14
2023-02-03 05:45:00,5116,7,824,1098,74,21
2023-02-03 06:00:00,7589,9,1150,1257,85,2
2023-02-03 06:15:00,7682,9,867,1266,82,26
2023-02-03 06:30:00,5282,8,1172,999,93,26
2023-02-03 06:45:00,8088,11,1163,964,121,22
2023-02-03 07:00:00,5016,9,1182,865,118,19
2023-02-03 07:15:00,5502,8,896,1092,142,9
2023-02-03 07:30:00,3832,11,1093,1022,146,5
2023-02-03 07:45:00,5305,7,664,716,145,9
2023-02-03 08:00:00,4061,12,837,871,158,3
2023-02-03 08:15:00,4679,9,621,402,143,9
2023-02-03 08:30:00,3620,7,683,553,170,2
2023-02-03 08:45:00,4344,8,811,341,171,1
2023-02-03 09:00:00,3571,7,808,421,169,8
2023-02-03 09:15:00,4714,11,677,582,181,11
2023-02-03 09:30:00,4392,9,717,619,182,10
2023-02-03 09:45:00,4174,8,736,783,175,3
2023-02-03 10:00:00,3717,9,741,862,169,10
2023-02-03 10:15:00,3846,7,796,915,182,3
2023-02-03 10:30:00,3346,8,684,691,173,8
2023-02-03 10:45:00,4509,9,675,650,196,5
2023-02-03 11:00:00,5066,10,714,647,188,3
2023-02-03 11:15:00,5081,8,689,765,182,8
2023-02-03 11:30:00,4317,9,658,639,194,4
2023-02-03 11:45:00,5150,7,627,832,180,10
2023-02-03 12:00:00,3777,7,769,759,205,2
2023-02-03 12:15:00,4803,6,622,682,194,1
2023-02-03 12:30:00,4420,6,603,522,190,1
2023-02-03 12:45:00,3285,7,750,583,191,10
2023-02-03 13:00:00,5033,10,747,263,182,5
2023-02-03 13:15:00,4491,6,730,372,170,1
2023-02-03 13:30:00,3993,9,704,600,173,4
2023-02-03 13:45:00,4338,9,656,578,177,4
2023-02-03 14:00:00,4387,9,880,343,182,11
2023-02-03 14:15:00,5278,10,803,416,175,6
2023-02-03 14:30:00,5804,11,997,599,152,20
2023-02-03 14:45:00,5177,12,1094,869,161,14
2023-02-03 15:00:00,4775,6,871,532,154,9
2023-02-03 15:15:00,7185,7,915,1114,142,10
2023-02-03 15:30:00,7606,12,1051,772,134,14
2023-02-03 15:45:00,6457,6,1261,942,136,16
2023-02-03 16:00:00,7447,11,851,1299,140,13
2023-02-03 16:15:00,8877,12,1452,1517,134,10
2023-02-03 16:30:00,7240,7,1423,1229,130,15
2023-02-03 16:45:00,10221,12,1300,1007,119,5
2023-02-03 17:00:00,7265,10,849,1446,121,21
2023-02-03 17:15:00,9175,10,913,1299,122,12
2023-02-03 17:30:00,7603,9,1170,967,114,17
2023-02-03 17:45:00,7180,6,980,860,97,20
2023-02-03 18:00:00,4701,9,729,925,92,9
2023-02-03 18:15:00,4271,9,1046,1102,90,6
2023-02-03 18:30:00,4384,9,728,844,93,11
2023-02-03 18:45:00,4740,7,696,963,83,8
2023-02-03 19:00:00,4603,5,728,1071,79,4
2023-02-03 19:15:00,3239,10,582,989,78,6
2023-02-03 19:30:00,3949,7,628,933,59,3
2023-02-03 19:45:00,2855,8,602,722,60,3
2023-02-03 20:00:00,3547,7,603,659,59,3
2023-02-03 20:15:00,2653,7,553,671,50,2
2023-02-03 20:30:00,3534,7,675,764,50,2
2023-02-03 20:45:00,2646,6,542,740,45,3
2023-02-03 21:00:00,2801,6,485,651,40,3
2023-02-03 21:15:00,2710,8,504,590,42,2
2023-02-03 21:30:00,2127,8,347,436,46,1
2023-02-03 21:45:00,1939,7,328,419,43,1
2023-02-03 22:00:00,2329,4,246,438,41,1
2023-02-03 22:15:00,1835,5,191,367,37,2
2023-02-03 22:30:00,1832,4,209,307,40,0
2023-02-03 22:45:00,1519,4,132,132,35,0
2023-02-03 23:00:00,993,6,119,241,36,2
2023-02-03 23:15:00,1114,4,157,179,35,1
2023-02-03 23:30:00,955,5,99,111,31,0
2023-02-03 23:45:00,707,5,33,48,29,1
2023-02-04 00:00:00,302,3,73,73,32,1
2023-02-04 00:15:00,694,4,75,72,32,1
2023-02-04 00:30:00,671,6,83,135,32,0
2023-02-04 00:45:00,383,4,125,73,31,0
2023-02-04 01:00:00,680,4,102,117,31,0
2023-02-04 01:15:00,601,6,101,96,31,2
2023-02-04 01:30:00,496,6,93,97,28,0
2023-02-04 01:45:00,741,6,126,91,27,0
2023-02-04 02:00:00,541,4,200,125,27,2
2023-02-04 02:15:00,537,5,127,118,31,2
2023-02-04 02:30:00,600,6,242,254,32,2
2023-02-04 02:45:00,509,4,220,293,30,0
2023-02-04 03:00:00,621,5,228,258,27,1
2023-02-04 03:15:00,579,5,292,238,31,3
2023-02-04 03:30:00,777,5,179,178,30,1
2023-02-04 03:45:00,583,6,337,314,29,2
2023-02-04 04:00:00,604,4,323,275,27,2
2023-02-04 04:15:00,910,4,282,434,31,2
2023-02-04 04:30:00,779,5,380,420,29,3
2023-02-04 04:45:00,820,7,387,468,28,1
2023-02-04 05:00:00,1233,7,408,252,31,1
2023-02-04 05:15:00,1214,7,252,363,36,2
2023-02-04 05:30:00,1093,7,361,505,38,4
2023-02-04 05:45:00,1915,7,354,369,43,4
2023-02-04 06:00:00,1981,7,387,660,44,4
2023-02-04 06:15:00,2081,6,379,550,53,4
2023-02-04 06:30:00,1727,4,474,666,50,4
2023-02-04 06:45:00,1455,5,317,507,58,4
2023-02-04 07:00:00,1682,5,525,696,59,5
2023-02-04 07:15:00,2759,7,464,716,66,6
2023-02-04 07:30:00,2497,5,572,376,66,2
2023-02-04 07:45:00,2380,4,501,584,67,4
2023-02-04 08:00:00,2077,5,535,525,69,1
2023-02-04 08:15:00,2315,6,470,635,75,0
2023-02-04 08:30:00,2266,7,496,566,72,1
2023-02-04 08:45:00,3664,4,420,603,81,2
2023-02-04 09:00:00,2616,5,543,938,83,11
2023-02-04 09:15:00,2830,4,449,891,86,0
2023-02-04 09:30:00,4315,4,374,514,75,9
2023-02-04 09:45:00,3588,8,571,648,87,13
2023-02-04 10:00:00,4213,6,391,564,78,0
2023-02-04 10:15:00,4448,4,640,1008,94,8
2023-02-04 10:30:00,3652,5,584,853,81,6
2023-02-04 10:45:00,4076,6,558,1026,96,6
2023-02-04 11:00:00,3010,8,683,757,100,5
2023-02-04 11:15:00,3972,8,676,664,99,12
2023-02-04 11:30:00,4183,9,697,882,102,10
2023-02-04 11:45:00,4215,9,652,772,96,6
2023-02-04 12:00:00,2901,7,711,756,104,9
2023-02-04 12:15:00,4484,8,508,770,96,2
2023-02-04 12:30:00,4187,9,601,717,93,2
2023-02-04 12:45:00,4440,5,426,767,100,4
2023-02-04 13:00:00,2815,5,411,557,90,4
2023-02-04 13:15:00,3543,5,720,642,87,5
2023-02-04 13:30:00,4126,7,519,460,92,5
2023-02-04 13:45:00,3167,9,698,436,86,4
2023-02-04 14:00:00,2123,7,449,734,87,5
2023-02-04 14:15:00,3208,6,646,522,81,5
2023-02-04 14:30:00,4330,9,472,691,75,3
2023-02-04 14:45:00,3225,5,812,441,81,4
2023-02-04 15:00:00,3259,10,502,643,75,8
2023-02-04 15:15:00,2677,10,548,481,78,5
2023-02-04 15:30:00,3121,7,656,837,64,1
2023-02-04 15:45:00,2655,8,678,551,70,9
2023-02-04 16:00:00,3978,8,862,1028,65,6
2023-02-04 16:15:00,3906,8,764,608,66,8
2023-02-04 16:30:00,3337,5,453,913,69,10
2023-02-04 16:45:00,4696,5,747,1037,64,4
2023-02-04 17:00:00,4879,6,843,746,56,2
2023-02-04 17:15:00,5330,7,545,755,52,1
2023-02-04 17:30:00,5351,7,499,1221,49,7
2023-02-04 17:45:00,4095,9,757,1219,53,4
2023-02-04 18:00:00,5436,9,837,921,49,1
2023-02-04 18:15:00,5495,9,510,761,44,8
2023-02-04 18:30:00,5107,6,494,572,49,6
2023-02-04 18:45:00,4422,4,436,881,47,6
2023-02-04 19:00:00,3515,7,434,754,44,3
2023-02-04 19:15:00,4482,8,499,931,43,4
2023-02-04 19:30:00,3009,6,643,662,47,4
2023-02-04 19:45:00,3907,7,495,549,38,4
2023-02-04 20:00:00,3230,8,318,806,38,1
2023-02-04 20:15:00,2844,7,535,522,38,1
2023-02-04 20:30:00,2577,6,473,465,37,2
2023-02-04 20:45:00,2281,6,370,624,39,3
2023-02-04 21:00:00,2485,6,435,343,40,3
2023-02-04 21:15:00,2250,5,364,333,40,1
2023-02-04 21:30:00,2311,7,344,423,37,3
2023-02-04 21:45:00,1917,5,295,318,36,1
2023-02-04 22:00:00,1662,7,207,287,37,1
2023-02-04 22:15:00,1759,6,192,305,37,2
2023-02-04 22:30:00,1298,6,190,137,36,2
2023-02-04 22:45:00,1570,6,161,108,31,2
2023-02-04 23:00:00,787,5,110,123,29,2
2023-02-04 23:15:00,1130,5,85,91,31,1
2023-02-04 23:30:00,578,5,54,125,32,0
2023-02-04 23:45:00,413,3,33,63,29,1
2023-02-05 00:00:00,310,3,29,12,30,0
2023-02-05 00:15:00,491,6,84,110,31,0
2023-02-05 00:30:00,606,6,87,135,32,1
2023-02-05 00:45:00,346,4,118,79,30,1
2023-02-05 01:00:00,402,5,77,139,28,0
2023-02-05 01:15:00,488,4,119,142,30,1
2023-02-05 01:30:00,435,4,177,198,28,2
2023-02-05 01:45:00,651,6,179,256,29,2
2023-02-05 02:00:00,797,6,195,266,30,2
2023-02-05 02:15:00,605,6,161,228,32,1
2023-02-05 02:30:00,398,5,247,281,32,1
2023-02-05 02:45:00,642,6,244,238,32,2
2023-02-05 03:00:00,422,4,246,342,31,2
2023-02-05 03:15:00,503,4,272,389,27,3
2023-02-05 03:30:00,714,4,198,197,29,2
2023-02-05 03:45:00,728,5,212,419,30,2
2023-02-05 04:00:00,717,5,216,225,31,2
2023-02-05 04:15:00,769,5,276,487,28,1
2023-02-05 04:30:00,949,6,358,419,31,1
2023-02-05 04:45:00,1021,6,226,377,32,3
2023-02-05 05:00:00,1066,5,433,247,32,3
2023-02-05 05:15:00,854,4,321,333,35,1
2023-02-05 05:30:00,1171,5,441,618,38,2
2023-02-05 05:45:00,1578,7,359,560,44,1
2023-02-05 06:00:00,1414,4,390,592,50,1
2023-02-05 06:15:00,1948,4,309,639,52,4
2023-02-05 06:30:00,2369,4,339,460,53,3
2023-02-05 06:45:00,2464,4,449,641,56,3
2023-02-05 07:00:00,2519,5,333,357,59,3
2023-02-05 07:15:00,2611,8,555,580,59,6
2023-02-05 07:30:00,2622,8,440,467,62,7
2023-02-05 07:45:00,2161,5,479,508,65,5
2023-02-05 08:00:00,2199,8,439,706,76,4
2023-02-05 08:15:00,2181,8,509,822,78,4
2023-02-05 08:30:00,3334,5,555,496,70,1
2023-02-05 08:45:00,2357,8,434,490,82,1
2023-02-05 09:00:00,3376,5,598,948,76,1
2023-02-05 09:15:00,4166,6,372,852,80,10
2023-02-05 09:30:00,3304,8,491,529,74,10
2023-02-05 09:45:00,3812,7,705,802,88,1
2023-02-05 10:00:00,4591,4,655,676,89,12
2023-02-05 10:15:00,3741,8,450,954,82,5
2023-02-05 10:30:00,3445,7,713,662,85,7
2023-02-05 10:45:00,4897,9,688,696,88,0
2023-02-05 11:00:00,3486,8,580,761,86,12
2023-02-05 11:15:00,4633,6,712,973,101,12
2023-02-05 11:30:00,4468,8,556,898,99,4
2023-02-05 11:45:00,2615,8,592,638,96,5
2023-02-05 12:00:00,3364,6,663,621,92,5
2023-02-05 12:15:00,4220,7,708,925,105,5
2023-02-05 12:30:00,4236,9,615,922,97,2
2023-02-05 12:45:00,3432,5,568,734,91,2
2023-02-05 13:00:00,3963,8,560,833,96,2
2023-02-05 13:15:00,2454,9,691,863,85,3
2023-02-05 13:30:00,4116,8,798,659,96,3
2023-02-05 13:45:00,4092,6,836,452,90,5
2023-02-05 14:00:00,2102,8,638,721,89,2
2023-02-05 14:15:00,3899,8,440,788,85,3
2023-02-05 14:30:00,3476,10,720,576,74,6
2023-02-05 14:45:00,2817,10,799,481,82,5
2023-02-05 15:00:00,2648,6,597,415,76,4
2023-02-05 15:15:00,2530,10,503,780,77,1
2023-02-05 15:30:00,4703,10,431,463,71,4
2023-02-05 15:45:00,3085,8,784,760,66,10
2023-02-05 16:00:00,3149,6,450,935,63,10
2023-02-05 16:15:00,4154,10,725,754,59,2
2023-02-05 16:30:00,4559,7,872,670,61,12
2023-02-05 16:45:00,5133,8,558,1063,65,8
2023-02-05 17:00:00,4087,5,659,1167,55,11
2023-02-05 17:15:00,3382,5,537,1102,57,7
2023-02-05 17:30:00,3776,8,893,1227,57,4
2023-02-05 17:45:00,4002,9,657,690,49,3
2023-02-05 18:00:00,5247,9,437,1111,46,2
2023-02-05 18:15:00,3775,8,777,794,49,6
2023-02-05 18:30:00,4587,5,459,815,52,4
2023-02-05 18:45:00,3792,5,433,827,45,4
2023-02-05 19:00:00,3723,5,556,859,47,6
2023-02-05 19:15:00,4009,8,470,640,47,6
2023-02-05 19:30:00,3358,8,321,454,39,2
2023-02-05 19:45:00,2839,4,528,401,46,4
2023-02-05 20:00:00,3162,7,561,804,40,2
2023-02-05 20:15:00,3523,7,443,443,42,2
2023-02-05 20:30:00,2610,5,265,406,39,3
2023-02-05 20:45:00,2619,6,222,629,40,4
2023-02-05 21:00:00,2128,6,378,453,39,4
2023-02-05 21:15:00,2481,5,281,367,37,3
2023-02-05 21:30:00,2772,4,253,509,38,1
2023-02-05 21:45:00,1774,5,228,355,37,1
2023-02-05 22:00:00,2106,5,279,279,35,3
2023-02-05 22:15:00,1656,4,241,297,36,1
2023-02-05 22:30:00,1305,4,181,339,30,1
2023-02-05 22:45:00,1036,5,165,192,31,1
2023-02-05 23:00:00,1049,5,103,234,34,0
2023-02-05 23:15:00,690,5,85,82,34,1
2023-02-05 23:30:00,463,4,61,106,29,1
2023-02-05 23:45:00,548,3,47,75,31,1
2023-02-06 00:00:00,525,5,51,39,32,1
2023-02-06 00:15:00,617,4,63,30,31,1
2023-02-06 00:30:00,471,5,57,27,27,0
2023-02-06 00:45:00,410,4,37,77,30,1
2023-02-06 01:00:00,513,5,32,83,32,1
2023-02-06 01:15:00,656,4,68,93,30,0
2023-02-06 01:30:00,566,5,52,70,28,1
2023-02-06 01:45:00,430,5,80,28,29,0
2023-02-06 02:00:00,422,7,53,65,28,1
2023-02-06 02:15:00,362,7,38,47,27,0
2023-02-06 02:30:00,437,6,42,57,28,0
2023-02-06 02:45:00,385,5,47,3,28,1
2023-02-06 03:00:00,547,8,28,44,31,2
2023-02-06 03:15:00,258,6,65,29,32,1
2023-02-06 03:30:00,652,9,133,99,28,2
2023-02-06 03:45:00,658,8,183,146,30,2
2023-02-06 04:00:00,938,9,298,262,31,1
2023-02-06 04:15:00,1151,8,463,332,26,0
2023-02-06 04:30:00,2485,10,300,435,27,1
2023-02-06 04:45:00,2703,9,398,668,35,4
2023-02-06 05:00:00,4234,7,686,754,36,8
2023-02-06 05:15:00,5338,10,535,779,45,18
2023-02-06 05:30:00,5549,10,654,1195,53,20
2023-02-06 05:45:00,5592,9,768,863,75,29
2023-02-06 06:00:00,7048,11,1049,1199,84,5
2023-02-06 06:15:00,7856,8,1115,1197,96,32
2023-02-06 06:30:00,8329,8,1230,905,102,24
2023-02-06 06:45:00,5196,8,1054,776,113,14
2023-02-06 07:00:00,5839,11,671,811,110,12
2023-02-06 07:15:00,5627,10,995,713,142,11
2023-02-06 07:30:00,4179,9,1013,705,134,2
2023-02-06 07:45:00,4016,10,850,652,158,1
2023-02-06 08:00:00,4656,10,857,482,165,5
2023-02-06 08:15:00,4156,12,760,665,160,3
2023-02-06 08:30:00,4045,11,694,506,174,10
2023-02-06 08:45:00,3872,8,790,428,169,9
2023-02-06 09:00:00,3734,11,749,684,166,11
2023-02-06 09:15:00,4185,12,798,771,178,4
2023-02-06 09:30:00,3507,7,662,437,172,8
2023-02-06 09:45:00,4554,8,666,890,161,3
2023-02-06 10:00:00,4131,9,737,708,171,3
2023-02-06 10:15:00,3871,9,652,812,165,5
2023-02-06 10:30:00,4097,8,798,704,195,4
2023-02-06 10:45:00,3906,8,731,676,195,2
2023-02-06 11:00:00,3303,8,718,971,171,2
2023-02-06 11:15:00,5110,8,677,570,188,10
2023-02-06 11:30:00,3235,8,651,786,206,4
2023-02-06 11:45:00,4371,9,776,544,197,7
2023-02-06 12:00:00,3330,10,696,559,191,11
2023-02-06 12:15:00,3390,7,680,650,194,10
2023-02-06 12:30:00,4787,9,737,427,199,5
2023-02-06 12:45:00,4773,8,622,701,199,8
2023-02-06 13:00:00,3800,6,780,393,183,1
2023-02-06 13:15:00,4996,7,633,233,179,2
2023-02-06 13:30:00,4421,10,814,362,175,3
2023-02-06 13:45:00,4208,11,782,258,187,12
2023-02-06 14:00:00,4820,9,756,603,164,7
